Neighborhood,group_sic_code_name_ext,group_sic_code,count
Archer Heights,Moving Services,421401.0,3
Archer Heights,Nursing & Personal Care NEC,805999.0,4
Archer Heights,Office Equipment (Wholesale),504498.0,2
Archer Heights,Opticians,599504.0,1
Archer Heights,Parking Garages,752102.0,1
Archer Heights,Parks,799951.0,3
Archer Heights,Pharmacies,591205.0,1
Archer Heights,Photography,722121.0,2
Archer Heights,Port Services,962105.0,3
Archer Heights,Pubs,581305.0,2
Archer Heights,Real Estate Agents,653118.0,6
Archer Heights,Retail Shops,531104.0,5
Archer Heights,Rubber & Plastic Footwear Retail,566112.0,1
Archer Heights,Schools (K-12),821103.0,6
Archer Heights,Sports Recreational,799729.0,2
Archer Heights,Sports Tutoring,829975.0,1
Archer Heights,Sportswear,569913.0,3
Archer Heights,Stock Exchanges,623102.0,2
Archer Heights,Subs & Sandwiches,581219.0,1
Archer Heights,Tax Return Preparation & Filing,729101.0,3
Archer Heights,Taxis,412101.0,1
Archer Heights,Technical Schools,821115.0,3
Archer Heights,Telecommunications Services,481302.0,2
Archer Heights,Telephone Companies,481304.0,2
Archer Heights,Tire Service,753402.0,2
Archer Heights,Transportation Services,411914.0,9
Archer Heights,Travel Agents,472402.0,1
Archer Heights,Truck Repair & Service,753812.0,8
Archer Heights,Variety Stores,533101.0,4
Archer Heights,Veterinarians Dvm Vmd Public Health,74220.0,1
Archer Heights,Wholesale Clubs,531110.0,3
Armour Square,(All) Dentists,802101.0,2
Armour Square,(All) Insurance,641112.0,1
Armour Square,(All) Restaurants,581208.0,7
Armour Square,Art Schools,829919.0,1
Armour Square,Bakers Cake & Pie,546103.0,1
Armour Square,Barbers,724101.0,1
Armour Square,Bars,581301.0,1
Armour Square,Beauty Salons-Equipment &  Supplies (Wholesale),508702.0,3
Armour Square,Buses Charter & Rental,414201.0,1
Armour Square,Business Services NEC,738999.0,1
Armour Square,Cafes,581214.0,1
Armour Square,Car Service,411904.0,3
Armour Square,Car Washes,754201.0,1
Armour Square,Church Organizations,866104.0,2
Armour Square,Clubs,864108.0,1
