Neighborhood,group_sic_code_name_ext,group_sic_code,count
Brentwood,Dry Cleaners,721201.0,2
Brentwood,Electronic Equipment & Supplies Retail,573117.0,1
Brentwood,Factory Outlets,599931.0,1
Brentwood,Federal Government General Offices,919901.0,2
Brentwood,Flooring,175203.0,2
Brentwood,Food Markets,541101.0,1
Brentwood,Funeral Homes,726103.0,1
Brentwood,Furniture Stores,571216.0,3
Brentwood,Garden Centers,526104.0,1
Brentwood,Gas Stations,554101.0,10
Brentwood,Gift Shops,594712.0,2
Brentwood,Government Pension Health/Welfare Funds,637104.0,5
Brentwood,Grocers Health Foods,541108.0,1
Brentwood,Grocery Stores,541105.0,13
Brentwood,Hardware Stores,525104.0,1
Brentwood,Health Clubs & Gyms,799101.0,3
Brentwood,Hobby & Model Shops,594508.0,1
Brentwood,Home Centers,521138.0,1
Brentwood,Homes Personal Care Facility,805911.0,17
Brentwood,Hospitals,806202.0,8
Brentwood,Hotels & Motels,701101.0,5
Brentwood,House Cleaning,734922.0,1
Brentwood,Investments,621111.0,1
Brentwood,Kitchen Accessories,571928.0,1
Brentwood,Laundry & Garment Services NEC,721999.0,2
Brentwood,Legal Services,811198.0,1
Brentwood,Libraries,823106.0,1
Brentwood,Lighting Stores,571926.0,1
Brentwood,Manicurists,723102.0,1
Brentwood,Manufacturers,399903.0,4
Brentwood,Medical Supplies,504704.0,1
Brentwood,Misc Equipment Rental & Leasing,735999.0,1
Brentwood,Miscellaneous Food Stores,549999.0,1
Brentwood,Motorcycle Dealers,557106.0,1
Brentwood,Moving Services,421401.0,3
Brentwood,Museums,841201.0,2
Brentwood,News Service,738301.0,1
Brentwood,Nursing & Personal Care NEC,805999.0,12
Brentwood,Office Equipment (Wholesale),504498.0,2
Brentwood,Paint Stores,523107.0,2
Brentwood,Parking Garages,752102.0,7
Brentwood,Pet Services,75210.0,1
Brentwood,Pharmacies,591205.0,2
Brentwood,Preschools,835102.0,1
Brentwood,Publishers,274105.0,2
Brentwood,Real Estate Agents,653118.0,16
Brentwood,Real Estate Developers,655202.0,1
Brentwood,Retail Shops,531104.0,2
Brentwood,Schools (K-12),821103.0,5
Brentwood,Seafood Markets,542101.0,1
Brentwood,Sports Tutoring,829975.0,2
Brentwood,Stadiums Arenas & Athletic Fields,794104.0,1
Brentwood,Taxis,412101.0,13
Brentwood,Telephone Companies,481304.0,7
Brentwood,Tire Service,753402.0,2
Brentwood,Transportation Services,411914.0,5
Brentwood,Travel Agents,472402.0,3
Brentwood,Truck Repair & Service,753812.0,1
Brentwood,Wholesale Clubs,531110.0,3
Brentwood,Wines Retail,592103.0,8
Brightwood,(All) Auto Dealers,551102.0,5
Brightwood,(All) Dentists,802101.0,5
Brightwood,(All) Doctors,801101.0,16
Brightwood,(All) Insurance,641112.0,2
Brightwood,(All) Places Of Worship,866107.0,6
Brightwood,(All) Restaurants,581208.0,8
Brightwood,Advertising Marketing,731115.0,2
Brightwood,Apartments,651303.0,1
Brightwood,Art Schools,829919.0,1
Brightwood,Automobile Accessories,553129.0,1
Brightwood,Banks,602101.0,1
Brightwood,Barbers,724101.0,6
Brightwood,Beauty Salons-Equipment &  Supplies (Wholesale),508702.0,16
Brightwood,Business Services NEC,738999.0,7
Brightwood,Car Service,411904.0,2
Brightwood,Car Washes,754201.0,2
Brightwood,Cell Phones,599902.0,2
Brightwood,Church Organizations,866104.0,22
Brightwood,City Government Executive Offices,911104.0,3
Brightwood,City Government Regulation/Adm Comms/Utilities,963104.0,1
Brightwood,Clothing Retail,565101.0,3
Brightwood,Cocktail Lounges,581303.0,2
Brightwood,Colleges & Universities,822101.0,2
